Date,Price,Open,High,Low,Vol.,Change %
2022-10-07,3577.10,3577.10,3577.10,3577.10,,-2.05%
2022-10-06,3652.10,3652.10,3652.10,3652.10,,-0.28%
2022-10-05,3662.40,3662.40,3662.40,3662.40,,0.07%
2022-10-04,3659.80,3659.80,3659.80,3659.80,,3.47%
2022-10-03,3537.20,3537.20,3537.20,3537.20,,-0.11%
2022-09-30,3541.00,3541.00,3541.00,3541.00,,-0.43%
2022-09-29,3556.40,3556.40,3556.40,3556.40,,2.16%
2022-09-28,3481.30,3481.30,3481.30,3481.30,,0.83%
2022-09-27,3452.80,3452.80,3452.80,3452.80,,-0.60%
2022-09-26,3473.50,3473.50,3473.50,3473.50,,-1.74%
2022-09-23,3535.10,3535.10,3535.10,3535.10,,-3.29%
2022-09-22,3655.30,3655.30,3655.30,3655.30,,0.22%
2022-09-21,3647.20,3647.20,3647.20,3647.20,,-1.01%
2022-09-20,3684.50,3684.50,3684.50,3684.50,,0.15%
2022-09-19,3679.00,3679.00,3679.00,3679.00,,-0.28%
2022-09-16,3689.20,3689.20,3689.20,3689.20,,0.33%
2022-09-15,3676.90,3676.90,3676.90,3676.90,,-1.06%
2022-09-14,3716.30,3716.30,3716.30,3716.30,,-0.95%
2022-09-13,3751.80,3751.80,3751.80,3751.80,,-0.31%
2022-09-12,3763.40,3763.40,3763.40,3763.40,,1.66%
2022-09-09,3702.10,3702.10,3702.10,3702.10,,1.02%
2022-09-08,3664.70,3664.70,3664.70,3664.70,,1.81%
2022-09-07,3599.40,3599.40,3599.40,3599.40,,-0.84%
2022-09-06,3629.80,3629.80,3629.80,3629.80,,-0.23%
2022-09-05,3638.10,3638.10,3638.10,3638.10,,0.82%
2022-09-02,3608.40,3608.40,3608.40,3608.40,,-0.08%
2022-09-01,3611.40,3611.40,3611.40,3611.40,,-3.42%
2022-08-31,3739.40,3739.40,3739.40,3739.40,,-0.91%
2022-08-30,3773.90,3773.90,3773.90,3773.90,,-3.33%
2022-08-26,3903.80,3903.80,3903.80,3903.80,,0.84%
2022-08-25,3871.10,3871.10,3871.10,3871.10,,0.92%
2022-08-24,3836.00,3836.00,3836.00,3836.00,,-0.68%
2022-08-23,3862.40,3862.40,3862.40,3862.40,,0.57%
2022-08-22,3840.60,3840.60,3840.60,3840.60,,-0.25%
2022-08-19,3850.20,3850.20,3850.20,3850.20,,0.42%
2022-08-18,3834.10,3834.10,3834.10,3834.10,,0.41%
2022-08-17,3818.60,3818.60,3818.60,3818.60,,-0.84%
2022-08-16,3851.10,3851.10,3851.10,3851.10,,0.38%
2022-08-15,3836.50,3836.50,3836.50,3836.50,,-1.69%
2022-08-12,3902.30,3902.30,3902.30,3902.30,,-1.81%
2022-08-11,3974.20,3974.20,3974.20,3974.20,,1.55%
2022-08-10,3913.70,3913.70,3913.70,3913.70,,1.19%
2022-08-09,3867.50,3867.50,3867.50,3867.50,,0.65%
2022-08-08,3842.50,3842.50,3842.50,3842.50,,0.81%
2022-08-05,3811.50,3811.50,3811.50,3811.50,,1.22%
2022-08-04,3765.40,3765.40,3765.40,3765.40,,1.16%
2022-08-03,3722.20,3722.20,3722.20,3722.20,,-1.39%
2022-08-02,3774.50,3774.50,3774.50,3774.50,,-0.90%
2022-08-01,3808.80,3808.80,3808.80,3808.80,,-1.09%
2022-07-29,3850.90,3850.90,3850.90,3850.90,,2.75%
2022-07-28,3748.00,3748.00,3748.00,3748.00,,1.53%
2022-07-27,3691.50,3691.50,3691.50,3691.50,,0.78%
2022-07-26,3663.00,3663.00,3663.00,3663.00,,0.39%
2022-07-25,3648.60,3648.60,3648.60,3648.60,,-0.49%
2022-07-22,3666.50,3666.50,3666.50,3666.50,,1.92%
2022-07-21,3597.40,3597.40,3597.40,3597.40,,-0.58%
2022-07-20,3618.30,3618.30,3618.30,3618.30,,1.72%
2022-07-19,3557.20,3557.20,3557.20,3557.20,,-1.54%
2022-07-18,3613.00,3613.00,3613.00,3613.00,,3.37%
2022-07-15,3495.20,3495.20,3495.20,3495.20,,0.64%
2022-07-14,3473.10,3473.10,3473.10,3473.10,,-2.76%
2022-07-13,3571.80,3571.80,3571.80,3571.80,,-0.55%
2022-07-12,3591.70,3591.70,3591.70,3591.70,,-2.12%
2022-07-11,3669.50,3669.50,3669.50,3669.50,,-1.74%
2022-07-08,3734.50,3734.50,3734.50,3734.50,,-0.45%
2022-07-07,3751.40,3751.40,3751.40,3751.40,,2.89%
2022-07-06,3646.20,3646.20,3646.20,3646.20,,-1.37%
2022-07-05,3696.80,3696.80,3696.80,3696.80,,-3.29%
2022-07-04,3822.60,3822.60,3822.60,3822.60,,0.51%
2022-07-01,3803.30,3803.30,3803.30,3803.30,,-1.94%
2022-06-30,3878.60,3878.60,3878.60,3878.60,,-2.24%
2022-06-29,3967.50,3967.50,3967.50,3967.50,,0.31%
