Date,Price,Open,High,Low,Close,LogReturns,WeeklyReturns,WeeklyVolatility ,,Change %,,,,,,,,,,Vol.
12-06-2018,"10,842.85","10,816.15","10,856.55","10,789.40","10,872.39",-0.002688,,,,0.52%,,,,,,,,,,204.42M
11-06-2018,"10,786.95","10,781.85","10,850.55","10,777.05","10,801.26",-0.006564,,,,0.18%,,,,,,,,,,217.85M
08-06-2018,"10,767.65","10,736.40","10,779.45","10,709.05","10,735.33",-0.006123,-0.007707,0.007130947,,-0.01%,,,,,,,,,,215.94M
07-06-2018,"10,768.35","10,722.60","10,818.00","10,722.60","10,806.24",0.006584,,,,0.78%,,,,,,,,,,227.66M
06-06-2018,"10,684.65","10,603.45","10,698.35","10,587.50","10,694.64",-0.010381,,,,0.86%,,,,,,,,,,195.76M
05-06-2018,"10,593.15","10,630.70","10,633.15","10,550.90","10,595.62",-0.009302,,,,-0.33%,,,,,,,,,,172.90M
04-06-2018,"10,628.50","10,765.95","10,770.30","10,618.35","10,698.12",0.009628,,,,-0.63%,,,,,,,,,,210.15M
01-06-2018,"10,696.20","10,738.45","10,764.75","10,681.50","10,698.72",0.000055,-0.003416,0.009055342,,-0.37%,,,,,,,,,,227.36M
31-05-2018,"10,736.15","10,670.10","10,763.80","10,620.40","10,792.81",0.008756,,,,1.15%,,,,,,,,,,629.20M
30-05-2018,"10,614.35","10,579.00","10,648.70","10,558.45","10,559.96",-0.021811,,,,-0.18%,,,,,,,,,,246.12M
29-05-2018,"10,633.30","10,689.40","10,717.25","10,616.10","10,633.82",0.00697,,,,-0.52%,,,,,,,,,,232.76M
28-05-2018,"10,688.65","10,648.35","10,709.80","10,640.55","10,732.47",0.009235,,,,0.79%,,,,,,,,,,239.79M
25-05-2018,"10,605.15","10,533.05","10,628.05","10,524.00","10,624.69",-0.010094,-0.006944,0.013950484,,0.87%,,,,,,,,,,268.92M
24-05-2018,"10,513.85","10,464.85","10,535.15","10,419.80","10,548.57",-0.00719,,,,0.80%,,,,,,,,,,306.79M
23-05-2018,"10,430.35","10,521.10","10,533.55","10,417.80","10,414.84",-0.012759,,,,-1.01%,,,,,,,,,,299.92M
22-05-2018,"10,536.70","10,518.45","10,558.60","10,490.55","10,538.44",0.011798,,,,0.19%,,,,,,,,,,249.24M
21-05-2018,"10,516.70","10,616.70","10,621.70","10,505.80","10,537.07",-0.000129,,,,-0.75%,,,,,,,,,,197.29M
18-05-2018,"10,596.40","10,671.85","10,674.95","10,589.10","10,585.41",0.004576,-0.003704,0.009642169,,-0.81%,,,,,,,,,,229.91M
17-05-2018,"10,682.70","10,775.60","10,777.25","10,664.50","10,717.41",0.012393,,,,-0.54%,,,,,,,,,,220.74M
16-05-2018,"10,741.10","10,751.95","10,790.45","10,699.70","10,691.74",-0.002398,,,,-0.56%,,,,,,,,,,238.22M
15-05-2018,"10,801.85","10,812.60","10,929.20","10,781.40","10,808.27",0.010841,,,,-0.04%,,,,,,,,,,262.20M
14-05-2018,"10,806.60","10,815.15","10,834.85","10,774.75","10,815.15",0.000636,,,,0.00%,,,,,,,,,,176.70M
11-05-2018,"10,806.50","10,741.95","10,812.05","10,724.45","10,832.18",0.001574,0.023045,0.00658652,,0.84%,,,,,,,,,,209.39M
10-05-2018,"10,716.55","10,779.65","10,785.55","10,705.00","10,754.86",-0.007164,,,,-0.23%,,,,,,,,,,197.99M
09-05-2018,"10,741.70","10,693.35","10,766.25","10,689.85","10,716.88",-0.003538,,,,0.22%,,,,,,,,,,222.12M
08-05-2018,"10,717.80","10,757.90","10,758.55","10,689.40","10,760.05",0.004021,,,,0.02%,,,,,,,,,,278.12M
07-05-2018,"10,715.50","10,653.15","10,725.65","10,635.65","10,751.16",-0.000827,,,,0.92%,,,,,,,,,,173.62M
04-05-2018,"10,618.25","10,700.45","10,700.45","10,601.60","10,639.46",-0.010444,-0.017952,0.005597176,,-0.57%,,,,,,,,,,192.30M
03-05-2018,"10,679.65","10,720.15","10,720.60","10,647.45","10,681.56",0.003949,,,,-0.36%,,,,,,,,,,190.87M
02-05-2018,"10,718.05","10,783.85","10,784.65","10,689.80","10,762.28",0.007529,,,,-0.20%,,,,,,,,,,236.76M
30-04-2018,"10,739.35","10,705.75","10,759.00","10,704.60","10,752.86",-0.000876,,,,0.44%,,,,,,,,,,179.16M
